SMILES,3CLPro_pocket1,ADRP-ADPR_pocket1,ADRP-ADPR_pocket5,ADRP_pocket1,ADRP_pocket12,ADRP_pocket13,COV_pocket1,COV_pocket2,COV_pocket8,COV_pocket10,NSP9_pocket2,NSP9_pocket7,NSP15_pocket1,ORF7A_pocket2,PLPro_chainA_pocket3,PLPro_chainA_pocket23,PLPro_pocket6,PLPro_pocket50
O=C(Cn1ccc(=O)n(c1=O)C)NCCc1c(F)cccc1F,-4.05,-7.18,-7.14,-4.83,-4.29,-6.38,-2.05,-2.02,-5.55,-5.91,-6.38,-5.72,-6.69,-4.91,-5.06,-7.11,-6.14,-8.29
O=C(NC(C)(C)C)CN1CCN(CC1)C(=O)CN(c1nc(C)nc2c1c1CCCc1s2)C,-6.7,-9.4,-8.96,-5.88,-5.79,-7.92,-2.25,-3.14,-6.99,-6.61,-6.87,-6.09,-9.03,-5.78,-6.59,-7.49,-8.52,-8.88
COc1cc(CCNC(=O)C(n2cncn2)C)ccc1OC,-4.49,-7.44,-7.78,-4.09,-4.77,-5.86,-1.75,-1.89,-5.41,-5.59,-6.26,-5.21,-5.65,-4.53,-4.25,-7.09,-6.13,-7.36
O=C(c1sc(nc1C)c1cccnc1)Nc1ccccc1c1cn2c(n1)scc2CN1CCOCC1,-5.82,-10.37,-10.29,-6.21,-6.62,-8.24,-2.67,-3.24,-8.19,-8.39,-7.8,-7.91,-10.44,-5.46,-6.04,-8.69,-9.59,-9.75
CCC1(C)NC(=O)N(C1=O)CC(=O)Nc1ccc(cc1Br)C,-5.34,-8.26,-8.2,-4.69,-4.62,-6.86,-2.75,-2.7,-6.27,-6.45,-6.49,-6.54,-6.79,-4.42,-5.27,-8.23,-7.26,-8.86
O=C(N1CCCCC1C1CNCC1)Cc1ccc2c(c1)[nH]nc2,-5.35,-7.8,-7.78,-6.0,-5.64,-7.63,-3.65,-3.95,-7.35,-6.92,-7.02,-6.54,-8.25,-5.97,-5.6,-9.31,-7.95,-9.38
N#Cc1ccc(cc1)SCC(=O)NC1(CCCCC1)c1onc(n1)c1cscc1,-6.37,-9.91,-9.98,-7.03,-7.01,-8.78,-3.03,-3.04,-7.9,-8.99,-8.51,-7.59,-8.68,-5.84,-6.55,-8.75,-8.95,-10.76
COc1ccccc1C(=O)NCC(=O)NC(c1ccc(cc1)n1cncc1)C,-5.09,-9.42,-8.5,-5.73,-5.66,-8.06,-2.3,-2.16,-6.62,-6.95,-6.9,-6.78,-7.35,-4.44,-5.35,-7.94,-7.98,-8.29
O=C(Nc1ccccc1N1CCCC1)CCN1C(=O)C2C(C1=O)CCCC2,-6.01,-10.02,-10.03,-6.59,-6.81,-8.38,-2.92,-3.14,-7.44,-7.64,-7.86,-7.33,-7.77,-5.37,-6.22,-9.13,-8.43,-10.09
Fc1ccc(cc1)c1c[nH]nc1c1ccnc(c1)F,-4.79,-6.41,-6.46,-4.61,-4.61,-5.86,-2.74,-2.73,-5.13,-5.57,-6.98,-5.79,-6.28,-4.23,-5.51,-6.82,-6.87,-7.31
COCC1CCCN1S(=O)(=O)Cc1ccc(c(c1)Cl)F,-4.98,-7.71,-7.72,-4.84,-5.1,-6.65,-2.71,-2.73,-5.67,-5.59,-6.45,-5.9,-6.17,-4.29,-4.23,-7.06,-6.53,-7.55
CCOc1ccc(cc1S(=O)(=O)Nc1nc2ccccc2nc1Nc1ccccc1C)Br,-10.37,-9.69,-10.07,-7.25,-6.71,-8.38,-2.58,-2.91,-7.72,-8.37,-7.7,-7.65,-8.97,-5.99,-5.53,-8.4,-9.4,-9.4
COc1cccc(c1)CNC(=O)CSCc1noc(n1)C,-5.01,-7.66,-7.79,-4.97,-5.23,-6.35,-2.1,-2.18,-5.37,-5.37,-6.82,-5.65,-5.98,-4.34,-4.63,-6.74,-6.45,-8.52
Cc1ccc(c(c1)n1c2nnc(n2c2c(c1=O)cccc2)SCc1nnc(o1)c1ccccc1)C,-6.44,-11.25,-11.16,-5.43,-5.39,-9.34,-3.24,-2.9,-6.95,-9.22,-8.38,-7.76,-9.06,-5.22,-6.81,-10.04,-9.13,-11.77
CCc1ccc(cc1)c1nc(c(s1)C(=O)O)C,-3.69,-7.23,-7.26,-5.06,-5.06,-6.23,-2.6,-2.56,-6.29,-7.09,-7.05,-7.46,-6.44,-4.62,-4.56,-6.36,-6.49,-7.62
CN(Cc1csc(n1)CNC(=O)c1ccccc1)CC1COCC1,-5.24,-7.86,-7.29,-4.34,-4.86,-6.92,-2.33,-2.01,-6.15,-5.23,-5.77,-5.77,-7.14,-4.78,-5.5,-8.06,-7.07,-8.27
Clc1ccc(cc1)c1csc2c1c(=O)[nH]c(n2)CSc1nnc(o1)c1ccccc1,-6.71,-10.86,-11.06,-6.45,-6.0,-8.95,-3.91,-3.95,-6.9,-8.41,-8.96,-7.38,-8.86,-5.81,-6.7,-8.92,-9.14,-10.28
Clc1cccc(c1)C(C1CCCC1)N,-5.28,-6.29,-6.19,-4.46,-4.56,-5.48,-3.47,-3.38,-5.74,-5.92,-5.26,-5.07,-6.66,-5.4,-4.93,-7.69,-7.03,-8.45
[O-][N+](=O)c1cc(ccc1C)S(=O)(=O)NC1CCN(CC1)C1CC1,-7.16,-9.45,-9.47,-5.51,-5.67,-7.78,-3.31,-3.15,-6.49,-7.9,-6.76,-7.77,-7.27,-5.93,-5.89,-8.8,-7.7,-9.78
O=C(c1scnc1C)N1CCCN(CC1)Cc1nccn1C(C)C,-5.06,-8.02,-7.69,-5.06,-5.16,-6.13,-2.65,-2.32,-6.05,-5.12,-5.25,-5.88,-6.6,-4.43,-4.51,-6.13,-7.08,-7.43
