SMILES,3CLPro_pocket1,ADRP-ADPR_pocket1,ADRP-ADPR_pocket5,ADRP_pocket1,ADRP_pocket12,ADRP_pocket13,COV_pocket1,COV_pocket2,COV_pocket8,COV_pocket10,NSP9_pocket2,NSP9_pocket7,NSP15_pocket1,ORF7A_pocket2,PLPro_chainA_pocket3,PLPro_chainA_pocket23,PLPro_pocket6,PLPro_pocket50
COCC(=O)Nc1scc(n1)c1cc(sc1C)C,-7.34,-6.86,-7.42,-4.62,-4.61,-5.73,-2.08,-2.23,-5.96,-5.53,-6.95,-5.3,-6.13,-4.86,-4.46,-6.98,-6.76,-7.58
O=C(Nc1ccc(cc1)n1cnc2c1cccc2)CCc1ccccc1O,-8.3,-10.01,-10.23,-5.84,-5.7,-8.53,-2.65,-2.69,-7.97,-7.91,-7.62,-7.25,-7.97,-4.89,-5.54,-9.85,-8.05,-9.93
COc1ccc(cc1OC)CCC(=O)N1CCN(CC1)c1ccc(cc1[N+](=O)[O-])C(F)(F)F,-3.96,-10.48,-10.65,-5.23,-5.53,-8.52,-2.57,-2.68,-6.96,-7.56,-8.33,-8.28,-6.45,-4.71,-5.33,-7.12,-7.45,-8.79
CCc1sc2c(c1)c(=O)n(cn2)CC(=O)N(Cc1ccco1)C,-4.71,-8.53,-8.36,-5.23,-5.14,-7.59,-2.56,-2.85,-6.33,-6.5,-6.95,-6.2,-6.57,-5.26,-6.17,-7.05,-7.02,-7.78
COc1ccc(c(c1)OC(C)C)CNc1ccc2c(c1)[nH]c(=O)o2,-5.44,-8.66,-7.89,-5.21,-5.32,-6.72,-2.32,-2.63,-6.79,-7.97,-6.98,-6.86,-7.85,-4.92,-5.34,-7.49,-7.46,-8.2
CCOC(=O)C1CCN(CC1)C(=O)C1CCN(CC1)c1ncnc2c1c(C)c(s2)C,-4.52,-9.43,-10.07,-5.9,-5.61,-8.49,-2.89,-3.07,-8.02,-7.75,-7.55,-7.13,-7.68,-4.76,-5.84,-8.33,-8.24,-9.76
C1CCN=C(CC1)Nc1scc(n1)c1ccc(cc1)c1ccccc1,-5.65,-8.81,-8.81,-5.87,-5.87,-8.19,-2.9,-2.89,-7.44,-7.62,-7.48,-7.2,-7.5,-5.4,-5.28,-7.82,-7.03,-9.95
OCC1CCCN1c1ccc(nn1)C(F)(F)F,-4.13,-5.74,-5.64,-3.86,-3.91,-5.51,-1.99,-1.99,-4.65,-4.86,-5.47,-5.53,-5.42,-3.56,-4.37,-5.86,-6.1,-6.08
OC(=O)CC(c1ccccc1)NC(=O)c1nn(C)c(=O)c2c1cccc2,-4.87,-9.25,-9.12,-5.98,-5.4,-7.71,-2.99,-3.71,-5.98,-8.69,-8.71,-8.74,-7.06,-5.96,-5.66,-7.14,-7.53,-8.77
OC(CN1CCCCC1Cn1cccn1)COCc1ccccc1F,-4.6,-6.89,-6.63,-4.2,-4.44,-5.59,-1.81,-1.59,-5.47,-5.49,-4.58,-5.3,-6.07,-4.85,-3.67,-6.88,-6.25,-7.77
CN(C1CCCN(CC1)C(=O)CC1(O)CCCC1)Cc1noc(n1)C,-7.98,-8.82,-8.18,-5.53,-5.71,-6.63,-2.36,-2.42,-6.51,-6.32,-6.1,-7.09,-6.95,-4.88,-4.83,-7.81,-8.09,-8.44
O[C@@H]1[C@H](O)[C@H](O[C@H]1N1CN(c2c1[nH]c(=N)nc2O)C)COP(=O)(O)O,-3.43,-5.86,-5.96,-2.92,-3.08,-3.81,-0.48,-0.87,-3.6,-4.55,-4.84,-3.29,-5.43,-4.82,-3.72,-6.64,-5.83,-5.76
O=C(C(Cc1c[nH]c2c1cccc2)NC(=O)c1cccs1)NCc1ccco1,-5.2,-8.06,-8.03,-6.28,-6.5,-7.14,-2.07,-2.32,-6.5,-7.67,-7.5,-7.49,-8.34,-5.72,-5.66,-8.73,-7.98,-9.44
O=C1Nc2c(C1)cc(cc2)c1csc(n1)NCC1CCCO1,-5.45,-8.3,-8.3,-5.91,-5.81,-7.49,-2.83,-2.7,-6.44,-7.19,-7.52,-6.4,-7.31,-5.28,-5.88,-8.08,-7.66,-8.7
Fc1ccc2c(c1)CC(O2)C(=O)N1CCCC(C1)c1noc(n1)C,-5.0,-8.84,-8.86,-5.95,-5.85,-7.44,-3.35,-3.35,-6.56,-7.48,-7.85,-7.3,-7.48,-5.47,-5.78,-7.77,-8.42,-8.66
Cc1nn(c(c1CNC(=O)c1sccc1c1ccccc1)C)Cc1ccccc1,-5.58,-9.83,-9.66,-6.82,-6.93,-7.77,-2.62,-2.51,-7.39,-7.06,-8.48,-7.46,-7.88,-5.88,-6.01,-8.58,-8.27,-9.76
Clc1cnc(c(c1)Cl)N1CCn2c(C1)nnc2c1ccccc1,-5.17,-8.69,-8.69,-5.57,-5.59,-7.39,-3.32,-3.38,-7.04,-6.29,-6.88,-6.93,-6.92,-4.85,-5.4,-7.92,-7.39,-8.78
CC(Oc1ccc(cc1NC(=O)c1[nH]c(c(c1C)C(=O)C)C)S(=O)(=O)N1CCOCC1)C,-5.31,-9.05,-9.32,-5.89,-6.34,-8.77,-2.59,-2.93,-7.05,-9.05,-7.97,-7.63,-9.07,-4.88,-6.05,-8.27,-8.3,-10.62
