SMILES,3CLPro_pocket1,ADRP-ADPR_pocket1,ADRP-ADPR_pocket5,ADRP_pocket1,ADRP_pocket12,ADRP_pocket13,COV_pocket1,COV_pocket2,COV_pocket8,COV_pocket10,NSP9_pocket2,NSP9_pocket7,NSP15_pocket1,ORF7A_pocket2,PLPro_chainA_pocket3,PLPro_chainA_pocket23,PLPro_pocket6,PLPro_pocket50
C=CCN(C(=O)c1ccc2c(c1)[nH]c(=O)n(c2=O)CC)C1CCCC1,-5.48,-9.23,-9.16,-5.43,-5.45,-8.22,-2.65,-2.51,-6.45,-7.1,-6.79,-7.07,-7.71,-4.87,-4.86,-7.75,-8.37,-8.77
O=C(c1cccc(c1)N(C)C)Nc1ccc(cc1)c1cn2c(n1)scc2,-4.56,-8.68,-8.66,-5.53,-5.58,-7.88,-2.26,-2.24,-6.98,-7.13,-7.52,-6.49,-6.72,-5.13,-4.82,-7.81,-6.89,-9.2
CCCn1c(N)c(N2CCOCC2)c(=O)n(c1=O)CC(=O)Nc1ccc(c(c1)C)C,-4.87,-9.01,-8.6,-5.78,-5.93,-7.35,-2.57,-2.5,-7.01,-7.14,-6.78,-6.89,-7.33,-5.18,-5.63,-7.09,-8.07,-8.45
O=S(=O)(c1cnn(c1)C1CCOCC1)NCCN1CCOCC1,-5.34,-8.52,-8.63,-4.61,-4.72,-6.53,-2.43,-2.49,-6.27,-6.14,-5.42,-5.16,-7.06,-4.79,-5.32,-8.06,-7.55,-7.71
O=C(c1cccc(c1)NC(=O)c1ccoc1C)NC1CC1,-5.27,-8.09,-7.99,-5.33,-5.33,-7.07,-2.67,-2.7,-5.88,-6.91,-7.02,-6.11,-7.06,-4.87,-5.37,-7.88,-7.65,-8.76
O=C(Nc1ccccc1C(C)(C)C)CSc1nnc(n1Cc1ccco1)c1c[nH]c2c1cccc2,-10.03,-10.41,-9.49,-5.87,-7.09,-8.17,-2.93,-1.94,-7.13,-8.25,-9.41,-8.68,-8.71,-5.75,-5.6,-8.43,-9.07,-10.01
Cc1ccc(c(c1)C)C(=O)Nc1cc(Cl)cc(c1)Cl,-7.92,-7.64,-7.62,-5.21,-5.08,-6.83,-2.92,-2.92,-5.71,-6.53,-6.64,-6.65,-6.6,-4.99,-5.25,-7.53,-7.08,-8.4
O=C1NC(C(=O)N1Cc1cc(=O)n(c(=O)n1C)C)(C)c1ccccc1Cl,-5.15,-8.95,-8.65,-5.39,-5.3,-7.8,-3.22,-2.93,-6.72,-6.86,-7.23,-7.0,-7.38,-4.6,-6.41,-8.25,-8.85,-8.97
ClC(P(=O)(O)O)(P(=O)(O)O)Cl,-2.97,-4.36,-3.77,-3.56,-2.89,-3.63,-1.78,-1.85,-3.34,-3.68,-4.29,-4.47,-4.58,-2.72,-2.39,-3.43,-3.15,-4.42
COc1cc(CNC(=O)c2cc(Cl)ccc2F)ccc1OCC1CCCO1,-5.16,-8.97,-8.62,-5.4,-6.24,-7.3,-2.76,-2.93,-6.63,-6.84,-7.77,-6.76,-7.36,-4.96,-5.69,-7.93,-7.6,-9.6
O=C(c1sc2c(c1)CCC2)NCCCn1ccc2c1cccc2,-5.82,-9.05,-9.13,-5.65,-5.58,-7.66,-2.68,-2.78,-6.97,-7.18,-8.51,-6.75,-7.64,-5.61,-5.84,-7.94,-8.43,-9.12
O=C(Cc1csc2n1cc(n2)c1ccccc1)Nc1ccc(cc1)C,-5.51,-8.96,-8.9,-5.97,-5.98,-7.98,-3.05,-3.03,-7.18,-7.71,-8.02,-7.02,-8.31,-5.08,-6.32,-8.13,-8.9,-9.86
O=C(C1CC(=O)N(C1)CC(F)(F)F)Nc1cccc(c1C)Cl,-4.72,-7.02,-6.81,-4.4,-4.47,-6.19,-2.33,-2.2,-5.59,-5.98,-5.91,-5.81,-6.14,-4.32,-5.21,-7.89,-6.88,-8.53
