SMILES,3CLPro_pocket1,ADRP-ADPR_pocket1,ADRP-ADPR_pocket5,ADRP_pocket1,ADRP_pocket12,ADRP_pocket13,COV_pocket1,COV_pocket2,COV_pocket8,COV_pocket10,NSP9_pocket2,NSP9_pocket7,NSP15_pocket1,ORF7A_pocket2,PLPro_chainA_pocket3,PLPro_chainA_pocket23,PLPro_pocket6,PLPro_pocket50
O=C(c1c(C)onc1c1ccccc1Cl)Nc1ccc2c(c1)OCCO2,-6.05,-9.37,-9.36,-6.16,-6.18,-8.11,-3.58,-3.59,-7.55,-7.65,-8.66,-7.69,-8.36,-5.71,-6.13,-9.4,-8.77,-10.25
O=C(c1sccc1S(=O)(=O)NC1CC1)NCC(c1ccccc1)C,-5.2,-7.93,-8.37,-5.33,-4.77,-7.06,-2.15,-2.16,-6.44,-6.69,-7.36,-6.65,-6.9,-4.71,-4.92,-8.08,-8.29,-8.04
Clc1ccc(c(c1)Cl)C(NC(=O)c1cccc(c1)S(=O)(=O)N1CCOCC1)C,-6.0,-9.96,-10.18,-6.02,-5.88,-8.14,-3.52,-3.55,-7.54,-8.06,-7.91,-7.52,-8.07,-5.73,-6.38,-8.97,-8.5,-10.59
O=C(c1ccc(c(c1)S(=O)(=O)N1CCOCC1)C)NC1CCCCCC1,-8.96,-10.09,-10.53,-6.38,-6.46,-7.86,-3.88,-3.67,-6.93,-7.94,-7.78,-8.06,-8.29,-5.67,-6.21,-8.35,-8.69,-10.58
COCCOc1cccc(c1)CNC(=O)Cc1nn(C)c(=O)c2c1cccc2,-8.37,-9.68,-9.41,-5.63,-5.92,-7.7,-2.32,-2.82,-6.65,-7.1,-7.23,-6.86,-7.76,-4.98,-5.15,-8.55,-7.57,-8.43
Fc1ccc(cc1)c1nc(sc1CC(=O)N(c1scc(n1)C)c1ccccc1)C,-6.35,-9.28,-8.88,-5.47,-5.53,-7.34,-2.94,-3.1,-7.07,-7.29,-7.85,-7.55,-8.26,-5.57,-6.19,-9.23,-8.82,-8.4
Cc1noc(n1)c1ccnc(c1)N1CCC(CC1)CN1CCOCC1,-5.9,-8.55,-8.64,-5.71,-5.79,-7.78,-2.48,-3.28,-6.3,-6.43,-6.13,-5.97,-7.51,-4.96,-5.96,-7.75,-7.67,-8.86
O=C(N1CC(C1)NC(=O)C)NCC(C(F)(F)F)n1ncnc1,-5.47,-6.17,-6.16,-4.38,-4.64,-5.21,-2.2,-1.8,-4.59,-4.66,-5.94,-5.25,-5.54,-4.39,-4.52,-5.96,-5.86,-5.92
COc1ccc(cc1)CN(C(=O)Cn1cnc2c(c1=O)cc(c(c2)OC)OC)C,-4.85,-10.77,-10.7,-5.4,-5.88,-8.24,-2.43,-2.71,-7.22,-6.87,-7.52,-6.54,-7.46,-4.44,-4.96,-7.7,-7.26,-8.91
CO[C@H]1CN([C@H](C1)c1nnc(o1)C)C(=O)c1csc(n1)CC(C)C,-7.7,-8.99,-9.27,-5.51,-5.56,-6.82,-2.72,-2.75,-6.3,-6.85,-6.83,-6.62,-6.93,-5.27,-5.11,-7.2,-6.89,-8.77
OC(=O)Cc1cc(O)ccc1O,-3.31,-5.87,-5.82,-3.79,-4.13,-4.87,-2.13,-2.15,-3.62,-5.5,-6.53,-5.15,-5.33,-3.68,-3.86,-4.67,-4.97,-5.53
O=C(Cc1c(C)cccc1C)NC[C@@H]1CC(=O)N([C@H]1c1ccncc1)C,-8.6,-9.13,-9.24,-4.97,-5.23,-7.64,-2.55,-2.3,-6.4,-6.2,-7.03,-7.28,-7.5,-5.7,-5.18,-7.79,-7.72,-9.07
OC(=O)CC1C(=O)Nc2c1c(=O)n(c(=O)n2Cc1ccccc1)C,-4.1,-7.7,-7.41,-5.22,-4.89,-6.94,-3.06,-3.15,-5.26,-7.69,-7.64,-7.19,-6.47,-4.86,-4.78,-6.17,-7.07,-7.68
COc1ccccc1n1c(ncc1c1ccccc1)SC1CCCCNC1=O,-8.95,-8.64,-8.57,-5.3,-5.32,-7.13,-2.75,-2.67,-7.44,-7.06,-7.91,-7.51,-8.16,-4.88,-6.01,-7.64,-8.29,-8.77
O=C(c1ccc(cc1)Br)N1CCC(CC1)C(=O)NCC(F)(F)F,-4.7,-7.62,-7.89,-4.44,-4.41,-7.44,-2.71,-2.97,-7.31,-6.16,-5.67,-6.39,-7.28,-4.96,-4.39,-6.62,-6.84,-8.21
O[C@H]1CN([C@H](C1)c1onc(n1)C)C(=O)C1CC1c1ccc(cc1)Cl,-8.04,-8.7,-8.75,-5.71,-5.76,-7.06,-2.92,-2.92,-6.76,-7.33,-7.91,-7.3,-7.01,-5.54,-4.89,-7.78,-7.0,-8.92
O=C(c1ccc(cc1)OC1CCCC1)NCc1nc2n(c1)cccc2,-5.48,-9.12,-9.09,-5.94,-6.03,-7.28,-2.84,-2.84,-7.07,-7.66,-7.23,-7.36,-7.35,-5.07,-5.15,-8.18,-7.18,-8.78
CCN(Cc1nc2ccccc2c(=O)[nH]1)CCCSc1ccccc1Cl,-5.7,-8.48,-8.7,-5.25,-5.2,-7.32,-2.29,-1.62,-6.41,-5.42,-5.86,-5.55,-6.96,-4.6,-4.86,-7.62,-7.77,-8.69
CCc1nnc(s1)NC(=O)c1cc(F)c(cc1Cl)F,-6.82,-7.25,-7.21,-5.25,-5.29,-6.4,-2.78,-2.62,-6.05,-6.13,-6.62,-6.36,-6.88,-4.33,-5.57,-7.08,-7.06,-7.8
c1ccc(cc1)NC1CCN(C1)c1nccn2c1nnc2,-5.11,-7.75,-7.74,-5.64,-5.66,-7.17,-3.03,-2.88,-6.5,-6.63,-6.61,-6.09,-7.09,-4.88,-4.63,-7.69,-7.24,-8.15
COc1ccccc1c1nnc(o1)CNC(c1ccc(c(c1)F)F)C,-6.24,-7.93,-7.91,-4.55,-5.55,-6.59,-2.77,-2.99,-6.95,-6.1,-6.29,-6.17,-6.9,-5.74,-4.6,-8.94,-7.85,-8.72
O[C@@H]1C[C@H](C[C@@H]1CNC(=O)C1(CC1)c1cccc(c1)F)c1nncn1C,-7.85,-8.98,-8.99,-5.77,-5.82,-7.54,-3.42,-3.22,-7.46,-7.43,-6.86,-6.44,-7.05,-5.34,-5.63,-8.1,-8.17,-8.23
COC(=O)c1ncn(n1)Cc1ncc(o1)c1cccc(c1)F,-4.43,-7.26,-7.43,-5.31,-5.49,-6.35,-2.52,-2.51,-6.35,-6.07,-6.77,-6.16,-6.38,-4.53,-5.5,-6.54,-6.53,-7.42
Oc1cccc(c1)NC1CCN(CC1)c1scc(n1)C,-5.35,-7.85,-7.86,-4.99,-4.93,-6.86,-2.73,-2.7,-6.93,-6.34,-6.91,-6.78,-7.01,-4.71,-4.43,-7.34,-7.51,-7.78
CN(C(C(=O)Nc1cccc(c1)S(=O)(=O)N(C)C)C)Cc1ccco1,-5.06,-8.2,-8.31,-5.52,-5.38,-7.08,-2.23,-2.57,-5.95,-5.55,-5.94,-5.48,-7.84,-5.47,-4.87,-6.74,-7.36,-7.41
CCc1n(ncc1C(=O)Nc1cnn(c1)C(C1CC1)C)Cc1ccccc1,-5.56,-9.25,-8.49,-5.26,-5.26,-7.77,-2.11,-2.09,-6.69,-6.99,-6.9,-6.63,-6.83,-4.76,-4.8,-7.86,-7.03,-8.15
CCC(c1ccc(cc1)NC(=O)c1ccc(nc1)C(F)(F)F)C,-6.69,-7.82,-7.83,-4.55,-4.51,-6.49,-1.72,-2.16,-6.47,-6.25,-6.57,-5.58,-6.84,-4.11,-4.17,-6.31,-6.85,-6.96
