SMILES,3CLPro_pocket1,ADRP-ADPR_pocket1,ADRP-ADPR_pocket5,ADRP_pocket1,ADRP_pocket12,ADRP_pocket13,COV_pocket1,COV_pocket2,COV_pocket8,COV_pocket10,NSP9_pocket2,NSP9_pocket7,NSP15_pocket1,ORF7A_pocket2,PLPro_chainA_pocket3,PLPro_chainA_pocket23,PLPro_pocket6,PLPro_pocket50
Cc1noc(n1)C1CCCN(C1)S(=O)(=O)c1ccccc1,-4.95,-9.05,-8.96,-6.26,-6.26,-7.29,-3.23,-3.2,-7.25,-7.02,-7.69,-7.08,-8.13,-5.24,-5.41,-7.94,-8.02,-8.39
C=CCNC(=O)c1c(N)n(c2c1nc1ccccc1n2)c1ccc(c(c1)C)C,-5.41,-8.79,-8.62,-6.83,-7.11,-7.02,-3.49,-2.78,-6.56,-7.15,-7.5,-6.96,-8.27,-4.92,-5.02,-8.27,-8.57,-9.83
COCCN1CN(CC1=O)C(=O)N[C@@H]1CCOc2c1cccc2C,-4.69,-8.39,-7.64,-5.32,-5.38,-6.85,-2.44,-2.58,-6.63,-6.64,-6.82,-5.92,-6.42,-4.73,-4.79,-6.6,-6.93,-7.59
COC[C@H](CNC(=O)NCc1ncnn1c1ccccc1)O,-6.61,-7.64,-7.46,-4.89,-4.28,-6.0,-1.97,-1.95,-5.39,-5.32,-6.61,-5.3,-6.33,-3.96,-4.37,-6.57,-6.45,-7.55
CN(C(=O)CCc1ncc(o1)c1ccccc1)C,-4.32,-6.91,-6.9,-4.81,-4.79,-6.4,-2.93,-2.94,-5.6,-5.65,-6.69,-5.79,-6.09,-4.39,-4.48,-6.91,-6.68,-7.48
O=C(c1ccn(c(=O)c1)C)N1CCCC(C1)c1ncc([nH]1)C(F)(F)F,-6.87,-7.95,-7.91,-5.5,-5.52,-6.96,-2.34,-2.27,-6.62,-6.13,-6.78,-6.85,-6.25,-5.22,-4.29,-7.04,-7.83,-8.39
Fc1cc(cc(c1NC(=O)c1ccsc1C(=O)O)F)c1cccc(c1)OC(F)(F)F,-3.74,-8.73,-8.93,-5.56,-5.25,-6.83,-2.21,-2.38,-6.56,-7.97,-7.48,-7.63,-6.72,-4.67,-4.08,-6.86,-6.98,-8.9
CCN(C1CC1)CC(=O)N1CC(C1)N1CCn2c(C1)nnc2C,-6.56,-7.84,-7.81,-4.11,-4.11,-6.07,-1.94,-2.36,-6.22,-4.79,-4.6,-4.57,-6.95,-4.39,-4.23,-5.97,-6.59,-6.69
O=C(C1CC1c1cnn(c1)C)N1CCC(CC1)OCc1ccccc1,-5.26,-9.23,-9.41,-5.32,-5.25,-7.82,-2.46,-2.45,-7.28,-6.67,-7.23,-6.57,-7.2,-5.25,-5.29,-7.79,-7.06,-8.61
FC(Oc1ccc(cc1)C(=O)COc1ccc(cc1Cl)S(=O)(=O)N1CCOCC1)F,-4.57,-9.81,-9.97,-4.99,-5.75,-8.25,-1.97,-2.13,-6.64,-6.84,-6.7,-7.29,-6.81,-3.8,-5.25,-8.0,-7.36,-8.89
COc1cc(NC(=O)c2c(NC)snc2C)cc(c1OC)OC,-4.56,-7.24,-7.26,-4.37,-4.33,-6.12,-2.11,-2.33,-5.46,-6.26,-6.03,-5.94,-7.37,-4.71,-4.53,-6.77,-6.78,-7.69
NC(=O)c1ccc(cc1Cl)NCc1onc(n1)c1ccc(c(c1)F)F,-4.86,-9.19,-9.04,-5.87,-5.48,-7.82,-2.69,-3.18,-7.26,-7.43,-7.53,-6.44,-7.81,-5.09,-5.88,-7.84,-8.0,-9.59
CCc1ccc(cc1)CCC(=O)NCc1nnc2n1cccc2,-5.83,-8.79,-8.72,-5.48,-5.8,-7.25,-2.71,-2.9,-7.3,-6.49,-7.17,-6.24,-6.88,-5.15,-5.39,-8.19,-7.44,-9.08
N#Cc1cnn(c1N)c1ccc(cc1)NC(=O)NCCc1ccccn1,-5.05,-9.33,-9.32,-5.45,-5.46,-8.3,-2.18,-2.35,-7.85,-6.83,-6.79,-6.75,-7.43,-4.91,-5.27,-8.59,-7.84,-9.88
Cc1onc(c1)C(=O)Nc1scc(n1)c1ccccn1,-4.82,-8.15,-8.15,-5.32,-5.21,-7.01,-3.08,-3.05,-6.5,-6.43,-7.62,-6.47,-7.02,-5.06,-5.38,-7.68,-7.19,-8.67
C=C[C@@]1(C)CC(=O)[C@]2([C@@](O1)(C)[C@@H](OC(=O)C)[C@H]([C@@H]1[C@]2(C)[C@@H](O)CCC1(C)C)O)O,-4.33,-6.81,-6.58,-4.69,-4.4,-5.89,-2.69,-2.56,-6.13,-6.12,-4.47,-6.12,-6.47,-4.13,-3.72,-5.28,-5.86,-7.6
N#Cc1ccc(cc1)S(=O)(=O)N(C1CC1)Cc1c(F)cccc1Cl,-5.76,-8.45,-8.21,-4.86,-4.96,-7.05,-2.92,-2.89,-6.69,-6.2,-6.18,-6.72,-6.89,-4.8,-5.12,-7.62,-8.35,-8.92
O=C(Nc1scc(n1)c1cccc(c1)[N+](=O)[O-])CCc1ccccc1,-5.8,-9.29,-9.33,-6.55,-6.72,-8.36,-3.61,-3.36,-7.77,-9.28,-8.97,-8.27,-7.66,-5.63,-6.09,-9.24,-8.23,-11.03
O=C(c1ccc(cc1)S(=O)(=O)N1CCCCCC1)NCC1(CCCCC1)N1CCOCC1,-6.91,-10.13,-10.03,-5.98,-5.99,-9.19,-3.06,-3.01,-8.44,-7.97,-7.13,-7.04,-8.71,-5.81,-5.89,-8.97,-8.51,-10.13
O=C(c1sc(nc1C)c1ccc(cc1)C(F)(F)F)Nc1nncs1,-4.89,-8.59,-8.72,-5.31,-5.33,-7.55,-2.4,-2.69,-6.27,-6.9,-6.78,-6.87,-7.1,-4.82,-4.94,-7.24,-7.11,-8.09
Clc1ccc(cc1)NC(=O)C(=O)Nc1ccc(c2c1cncc2)N1CCCCC1,-5.77,-8.78,-8.78,-6.6,-6.57,-8.06,-2.6,-2.63,-7.39,-7.95,-7.29,-7.26,-7.33,-5.28,-5.42,-8.22,-8.16,-10.26
COCCCN(S(=O)(=O)c1cccc(c1C)F)C,-4.15,-7.03,-6.3,-4.0,-4.05,-5.47,-2.11,-2.25,-5.26,-4.98,-6.11,-4.91,-5.84,-3.68,-3.86,-5.95,-5.8,-6.67
N#CCCN(C(=O)C(Nc1ccc(cc1)CN1CCCC1=O)C)C,-6.46,-8.12,-8.32,-5.04,-4.96,-6.52,-2.32,-2.21,-6.46,-6.04,-6.21,-6.47,-6.15,-4.23,-4.63,-7.43,-6.88,-7.84
CCN1CCN(CC1)C(CNC(=O)Nc1ccc(nc1)OC)C,-4.81,-6.95,-7.09,-4.52,-4.45,-6.02,-1.79,-1.83,-5.04,-5.18,-4.18,-3.89,-7.13,-4.43,-4.36,-7.02,-6.74,-7.23
O=C(Cc1c[nH]c2c1cccc2C)NC(c1cccs1)CC(=O)O,-4.59,-8.92,-8.96,-5.62,-5.59,-6.81,-3.1,-3.28,-5.95,-8.33,-7.92,-8.09,-6.64,-5.49,-4.43,-7.96,-7.25,-8.57
CN(C(c1ccco1)CNC(=O)c1scnc1C)C,-5.14,-5.92,-5.79,-4.24,-4.22,-5.48,-2.41,-2.49,-4.65,-4.46,-4.98,-4.91,-6.48,-4.06,-4.36,-7.21,-6.43,-7.71
