SMILES,3CLPro_pocket1,ADRP-ADPR_pocket1,ADRP-ADPR_pocket5,ADRP_pocket1,ADRP_pocket12,ADRP_pocket13,COV_pocket1,COV_pocket2,COV_pocket8,COV_pocket10,NSP9_pocket2,NSP9_pocket7,NSP15_pocket1,ORF7A_pocket2,PLPro_chainA_pocket3,PLPro_chainA_pocket23,PLPro_pocket6,PLPro_pocket50
CC(=O)Nc1ccc(cc1)OC(c1onc(n1)C)C,-5.18,-7.44,-7.49,-5.13,-5.14,-6.71,-2.71,-2.94,-6.18,-6.99,-7.19,-5.98,-7.02,-4.73,-5.97,-6.9,-6.87,-7.91
Clc1ccc(c(c1)N1CCN(CC1)Cc1c(C)noc1C)C,-5.45,-8.56,-8.54,-5.03,-5.15,-6.68,-3.07,-3.09,-6.18,-5.87,-5.42,-6.42,-7.04,-5.22,-4.99,-7.45,-8.02,-8.84
CC1CCC(CC1)NC(=O)C1(CCN(CC1)C(=O)C)c1ccccc1,-6.71,-8.16,-8.15,-5.73,-5.73,-6.84,-3.56,-3.55,-7.27,-6.53,-7.64,-7.27,-7.28,-5.44,-5.26,-8.79,-8.42,-10.35
COc1ccc(cc1)Cc1noc(n1)[C@H]1OCC[C@H]1Cn1cncc1,-7.27,-8.77,-8.63,-4.99,-4.93,-7.37,-2.38,-2.32,-6.33,-6.71,-7.1,-6.97,-7.27,-4.83,-5.73,-8.36,-7.35,-8.79
CN1CCOC(C1)CN(C(=O)NCc1c[nH]nc1C)CC1CC1,-7.25,-6.44,-6.78,-4.64,-4.58,-5.75,-1.97,-2.14,-5.42,-5.47,-5.11,-5.0,-6.24,-4.86,-4.59,-7.27,-6.4,-7.7
CSc1cccc(c1)NC(=O)c1ccc(c(c1)Cl)Cl,-7.78,-7.97,-7.99,-5.02,-5.06,-6.81,-2.55,-2.55,-6.63,-7.16,-6.8,-6.12,-6.78,-5.13,-4.89,-7.87,-7.58,-8.71
FC(C(COCCn1ccc(=O)c2c1cccc2)(F)F)F,-3.95,-5.66,-6.2,-3.55,-3.58,-5.18,-1.52,-1.6,-4.21,-4.64,-5.45,-5.04,-5.35,-3.72,-4.08,-6.06,-6.51,-6.54
COCc1ccccc1CNC(=O)N1CCN(CC1)c1ccccc1OC,-4.88,-8.36,-8.27,-5.12,-5.41,-6.7,-2.86,-2.35,-6.63,-6.5,-6.83,-6.55,-7.42,-4.9,-6.0,-7.99,-7.01,-8.02
COc1ccc(cc1NC(=O)Cc1cccc(c1)F)S(=O)(=O)N(C)C,-7.82,-8.81,-8.52,-5.41,-5.43,-7.09,-3.03,-2.76,-6.5,-6.39,-7.37,-6.4,-6.91,-5.93,-5.77,-7.68,-7.39,-8.23
Brc1ccc(c(c1)F)Cn1cnc2c(c1=O)cccc2,-5.23,-7.97,-7.93,-4.98,-4.97,-6.73,-3.36,-3.33,-6.62,-5.99,-6.75,-6.06,-6.27,-4.48,-5.42,-7.29,-7.43,-7.95
CC1Cc2c(N1CCNc1nc3c(o1)cccc3)cccc2,-5.18,-8.04,-8.01,-5.73,-5.58,-6.65,-2.43,-2.5,-6.92,-6.54,-6.89,-6.66,-6.87,-4.71,-5.6,-7.85,-7.51,-8.74
O=C(c1csnc1C)N(c1ccccc1)CCCN1CCOCC1,-5.31,-7.05,-7.36,-4.84,-4.73,-6.82,-2.26,-2.13,-5.79,-5.36,-5.03,-5.27,-7.57,-4.58,-4.21,-8.71,-7.46,-8.02
C=CCn1c2nnc(n2c2c(c1=O)cccc2)SC(C(=O)Nc1cc(ccc1Cl)C(F)(F)F)c1ccccc1,-9.55,-9.01,-8.93,-6.9,-6.64,-7.31,-2.68,-2.33,-7.26,-7.03,-7.06,-7.0,-9.1,-5.95,-7.0,-8.27,-9.65,-11.69
O=C(c1cccc2c1OCCO2)N1CCCC1Cn1cccn1,-5.71,-7.07,-7.58,-5.25,-5.57,-6.82,-3.08,-3.2,-6.24,-6.48,-6.87,-6.83,-7.27,-4.63,-6.08,-7.58,-8.76,-8.35
Cc1ccc(c(c1)C)NC(=O)C1CCCN1S(=O)(=O)c1ccc(s1)C,-5.6,-9.64,-9.6,-5.93,-5.66,-7.17,-3.41,-3.26,-6.79,-7.46,-7.15,-7.32,-8.7,-4.98,-6.25,-7.95,-8.66,-9.24
N#CCCCS(=O)c1ccc(cn1)C,-5.86,-6.22,-6.35,-3.88,-3.87,-5.36,-2.55,-2.61,-5.16,-5.17,-5.82,-5.02,-5.94,-4.29,-4.98,-6.07,-5.95,-6.67
CCS(=O)(=O)N1CCC(CC1)C(=O)Nc1cccc(c1F)Cl,-5.34,-8.15,-8.16,-5.41,-5.7,-7.05,-3.32,-3.24,-6.33,-6.35,-6.62,-6.54,-8.21,-4.99,-5.36,-9.1,-7.76,-10.15
OCC(C1COCC1)Cn1cnc2c1ncnc2N1C[C@@H](C[C@H]1C(=O)N)F,-4.64,-8.48,-8.73,-4.85,-4.69,-7.07,-2.45,-2.13,-6.19,-7.1,-6.76,-6.52,-6.72,-4.8,-4.87,-7.29,-7.47,-7.58
CC(NC(=O)NCC(C(=O)N)(C)C)CCc1ccccc1,-5.03,-7.78,-7.8,-4.69,-5.24,-6.2,-2.27,-2.29,-5.84,-5.61,-7.14,-6.31,-6.47,-4.94,-4.67,-6.7,-7.14,-7.87
Cc1ccc(cc1C)n1c(SCC2CCCO2)nnc1c1ccccc1,-9.62,-8.59,-8.53,-6.13,-5.8,-7.38,-3.22,-3.1,-7.95,-7.95,-8.39,-7.18,-7.8,-5.48,-5.6,-9.42,-8.63,-9.28
Clc1cccc(c1)CN1C(=O)NC(C1=O)(C)c1ccc2c(c1)OCO2,-4.92,-9.57,-9.58,-6.12,-6.12,-7.99,-3.07,-3.01,-7.16,-6.84,-7.53,-6.95,-8.04,-5.91,-5.67,-7.61,-8.17,-8.46
Cc1nc2nc(nn2c(c1C)C)SCc1onc(n1)c1cccc(c1)[N+](=O)[O-],-8.66,-10.42,-10.08,-6.61,-6.73,-9.3,-3.48,-3.39,-8.81,-9.62,-9.4,-8.49,-9.05,-6.81,-7.22,-8.7,-10.07,-10.69
COc1ccc(cc1)c1nnc(o1)CN1CCN(CC1)C(=O)C(C)C,-4.94,-9.15,-9.06,-5.14,-5.13,-7.63,-3.35,-2.79,-6.44,-6.75,-5.78,-5.88,-6.99,-4.99,-4.84,-7.91,-8.07,-8.83
CN(C(=O)c1cc2ccccc2cc1OCc1c(C)noc1C)C1CCS(=O)(=O)C1,-6.38,-10.26,-9.95,-6.59,-7.14,-8.1,-3.36,-3.76,-8.3,-7.93,-7.88,-8.4,-9.29,-6.54,-6.73,-9.32,-9.02,-10.79
CSc1ccccc1NC(=O)CN1C(=O)NC(C1=O)(C)C,-5.06,-7.51,-7.47,-5.12,-4.59,-6.59,-2.27,-2.15,-6.15,-6.32,-6.39,-6.01,-6.79,-4.8,-4.81,-7.53,-6.7,-8.12
