SMILES,3CLPro_pocket1,ADRP-ADPR_pocket1,ADRP-ADPR_pocket5,ADRP_pocket1,ADRP_pocket12,ADRP_pocket13,COV_pocket1,COV_pocket2,COV_pocket8,COV_pocket10,NSP9_pocket2,NSP9_pocket7,NSP15_pocket1,ORF7A_pocket2,PLPro_chainA_pocket3,PLPro_chainA_pocket23,PLPro_pocket6,PLPro_pocket50
O=C(NC1CCCCc2c1cccc2)NCc1nnc2n1CCCC2,-5.97,-9.17,-9.16,-6.92,-6.9,-8.2,-3.65,-3.68,-7.3,-7.89,-7.7,-7.67,-7.67,-6.01,-6.35,-9.72,-8.66,-10.29
O=C(C1CCN(CC1)c1ccc2n(n1)nnn2)Nc1cc(nn1C)C(C)(C)C,-6.03,-10.0,-10.03,-6.48,-6.43,-9.14,-3.42,-2.88,-8.05,-7.82,-7.93,-8.25,-8.09,-5.86,-6.47,-7.86,-8.1,-9.57
COc1c(OC)cccc1C(=O)N1CCN(CC1)Cc1nc2ccccc2c(=O)[nH]1,-6.24,-9.85,-9.49,-5.67,-5.95,-7.99,-2.55,-2.79,-7.18,-6.33,-6.5,-6.62,-7.97,-5.43,-5.28,-7.3,-8.16,-9.46
Cc1ccc(c(c1)C1CCCN1C(=O)Cn1nc(oc1=O)C)C,-7.35,-7.96,-7.93,-5.32,-5.3,-7.31,-3.38,-3.37,-6.29,-6.41,-7.1,-6.93,-6.85,-5.61,-5.85,-7.89,-7.82,-8.68
N#Cc1[nH]cc(c1)C(=O)N1CCCC1c1ccc(nn1)N(C)C,-7.53,-8.41,-8.42,-5.57,-5.53,-6.68,-2.91,-3.01,-6.22,-6.35,-6.44,-6.59,-6.0,-4.88,-5.91,-6.97,-7.34,-7.94
FCC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(cc1)O)NC(=O)OCc1ccccc1)C,-3.69,-7.7,-8.04,-5.02,-4.83,-6.21,-0.94,-1.23,-5.57,-6.72,-5.68,-6.41,-7.32,-4.6,-4.55,-8.27,-6.65,-7.43
Cc1ccc(cc1)NC(=O)N(C(c1nccn1C)c1ccc(cc1)Cl)C,-5.6,-8.14,-8.12,-5.55,-5.63,-6.91,-2.75,-2.81,-6.37,-6.67,-6.32,-6.68,-7.38,-4.46,-5.26,-7.48,-7.35,-8.46
O=C(c1ccncc1)NC1CCCc2c1cccc2,-5.49,-6.7,-6.75,-5.13,-5.13,-6.26,-2.82,-2.84,-6.0,-5.97,-7.43,-5.88,-6.48,-5.16,-5.3,-7.8,-6.75,-8.97
O=C(Nc1ccccc1)CCN1CCc2c(C1)ccs2,-5.76,-7.33,-7.33,-4.98,-5.01,-6.19,-2.51,-2.55,-6.38,-5.97,-6.29,-5.2,-7.11,-5.2,-4.92,-8.49,-7.44,-8.91
COCCn1c(SCC(=O)NC2CC2)nc(c1C)C,-3.77,-6.57,-6.0,-3.86,-3.5,-4.91,-1.68,-1.67,-4.97,-4.88,-5.56,-5.22,-5.63,-3.38,-3.56,-5.97,-5.54,-6.12
