SMILES,3CLPro_pocket1,ADRP-ADPR_pocket1,ADRP-ADPR_pocket5,ADRP_pocket1,ADRP_pocket12,ADRP_pocket13,COV_pocket1,COV_pocket2,COV_pocket8,COV_pocket10,NSP9_pocket2,NSP9_pocket7,NSP15_pocket1,ORF7A_pocket2,PLPro_chainA_pocket3,PLPro_chainA_pocket23,PLPro_pocket6,PLPro_pocket50
Clc1ccc(cc1)c1cnc(o1)CN1CCN(CC1)S(=O)(=O)c1cccc(c1)Cl,-6.05,-9.85,-9.93,-5.78,-5.72,-8.3,-2.85,-2.74,-7.54,-7.11,-7.71,-7.17,-8.27,-5.24,-5.84,-8.27,-8.33,-9.88
Oc1ccc(cc1)C1=CCN(CC1)Cc1onc(n1)c1cccs1,-5.48,-8.64,-8.65,-5.9,-5.87,-7.94,-2.43,-2.46,-7.23,-6.08,-5.99,-6.87,-8.24,-5.02,-6.15,-8.7,-8.13,-9.5
Cc1cnn(c1)CC1CCCCN1Cc1nnsc1Cl,-5.37,-7.14,-7.15,-5.15,-5.03,-6.05,-2.74,-2.72,-5.69,-5.72,-5.29,-6.04,-6.96,-4.8,-4.86,-7.31,-7.51,-8.34
Cn1ccnc1CC1CCCN(C1)Cc1cnc2n1cccc2C,-5.2,-8.03,-7.81,-5.34,-5.65,-6.48,-3.02,-2.94,-5.69,-5.88,-5.91,-5.97,-6.89,-4.99,-5.67,-7.93,-7.42,-8.34
Clc1cccc(c1)n1ccc(=O)c(n1)C(=O)Nc1nnc(s1)C,-5.34,-9.16,-9.17,-6.0,-5.95,-7.69,-3.21,-2.93,-6.83,-8.28,-8.02,-7.59,-8.11,-5.83,-6.9,-7.67,-7.81,-8.94
O=C(NC(c1ccc(cc1)C)C1CC1)Cn1nnc(c1)C1CC1,-5.31,-8.21,-8.21,-5.24,-5.4,-6.87,-2.32,-2.46,-6.37,-6.64,-7.02,-6.2,-6.91,-4.81,-6.07,-8.21,-8.06,-8.23
Cc1onc(c1CNCC1CCc2n(C1)ccn2)C,-7.34,-6.99,-6.95,-5.19,-5.22,-6.65,-3.0,-3.08,-5.74,-6.21,-5.27,-5.79,-6.94,-5.43,-5.23,-8.69,-7.07,-8.93
O=C(N1CCCCCC1)Cn1c(CN2CCCCCC2)nc2c1cccc2,-9.48,-8.29,-8.3,-6.04,-6.13,-6.82,-2.8,-2.84,-6.85,-6.73,-6.87,-6.72,-8.3,-6.09,-5.67,-9.11,-8.9,-9.98
O=S(=O)(c1ccccc1)NC1CCCCC1Sc1ccccn1,-6.13,-9.03,-9.1,-5.8,-5.66,-7.58,-3.21,-2.91,-7.22,-7.41,-6.89,-6.65,-8.0,-5.47,-5.2,-9.03,-7.93,-8.87
Cc1onc(c1C(=O)N1CCCC(C1)n1ccnc1C(C)C)C,-4.8,-8.15,-8.04,-5.85,-5.8,-7.12,-2.97,-3.08,-6.21,-6.24,-7.0,-6.77,-6.8,-4.69,-5.48,-7.8,-7.54,-8.54
CCCC(c1ccccc1)NC(=O)C1CCS(=O)(=O)C1,-5.23,-7.25,-7.27,-5.24,-5.38,-7.0,-2.77,-2.71,-5.94,-5.73,-6.5,-6.19,-7.41,-4.77,-5.17,-7.68,-6.68,-8.3
O=C(C1CCCCC1)O/N=C/c1ccc(c(c1)F)O,-5.28,-8.13,-7.99,-5.16,-4.92,-7.15,-2.46,-2.68,-6.55,-6.93,-7.18,-6.62,-7.09,-5.66,-4.98,-6.96,-7.04,-8.65
O=C(c1ccncc1Cl)NCCc1[nH]nc(n1)c1ccccc1,-7.86,-8.21,-8.25,-5.62,-5.46,-7.4,-2.62,-2.55,-7.27,-7.22,-7.5,-6.08,-7.85,-5.54,-5.72,-7.63,-8.08,-8.56
COCC1CCCN(C1)c1ncc(c(n1)N1CCCC(C1)COC)C,-4.94,-7.73,-7.6,-4.86,-5.05,-6.22,-2.52,-2.34,-5.89,-6.02,-5.74,-5.37,-7.15,-4.31,-4.68,-7.39,-7.53,-8.12
CSCCC(c1nc2c([nH]1)cccc2)NC(=O)c1cc(Cl)c2c(c1)OCO2,-5.17,-8.02,-8.24,-6.28,-6.12,-7.13,-3.01,-2.97,-6.44,-7.36,-6.86,-6.49,-7.73,-5.3,-5.63,-8.76,-7.58,-9.33
